COUNTRY;YEAR;CODE;NDN;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
United States of America;2000;USA2000;1;4818;90;Yes;36070;100;4557336;14;100;31;28;23;1600;67,2;325524000;0,00049151521854
United States of America;2012;USA2012;1;8845;92;Yes;52540;100;4101602,4;12,6;100;34;21;16;1600;69,1;325524000;0,00049151521854
United States of America;2013;USA2013;1;9146;92;Yes;53660;100;4036497,6;12,4;100;35;21;15;1600;69,1;325524000;0,00049151521854
Congo;2013;COG2013;1;131;85;Yes;2330;14,8;3009580;37;15;31;37;2;200000;56,6;81340000;0,24588148512417
Congo;2012;COG2012;1;125;10;Yes;2060;14,6;3009580;37;15;14;32;2;200000;56,6;81340000;0,24588148512417
Japan;2000;JPN2000;1;2865;80;Yes;36230;100;1139769;9;100;348;51;14;20000;72,7;126641000;0,015792673778634
Japan;2012;JPN2012;1;4787;90;Yes;49480;100;1038456,2;8,2;100;350;36;11;20000;74,9;126641000;0,015792673778634
Japan;2013;JPN2013;1;3966;95;Yes;48280;100;1038456,2;8,2;100;350;35;11;20000;74,9;126641000;0,015792673778634
France;2000;FRA2000;1;2209;85;Yes;25150;98,7;872859;13;99;111;38;28;6200;69,7;67143000;0,009234022906334
France;2012;FRA2012;1;4644;89;Yes;43020;98,7;846001,8;12,6;99;120;31;26;6000;72,6;67143000;0,008936151199678
United Kingdom of Great Britain and Northern Ireland;2012;GBR2012;1;3595;92;Yes;41200;99,2;844966,4;12,8;99;263;22;20;10000;71,4;66013000;0,015148531349886
France;2013;FRA2013;1;4864;89;Yes;43380;98,7;832573,2;12,4;99;121;31;26;6000;72,6;67143000;0,008936151199678
United Kingdom of Great Britain and Northern Ireland;2013;GBR2013;1;3598;93;Yes;42340;99,2;798757,3;12,1;99;265;21;19;10000;71,4;66013000;0,015148531349886
United Kingdom of Great Britain and Northern Ireland;2000;GBR2000;1;1761;85;Yes;28880;99,2;792156;12;99;243;31;29;10000;68,6;66013000;0,015148531349886
Germany;2000;DEU2000;1;2387;80;Yes;26210;99,2;743229;9;99;236;38;30;2400;68,7;82581000;0,002906237512261
Germany;2012;DEU2012;1;4717;86;Yes;46710;99,2;693680,4;8,4;99;231;34;29;2400;71,3;82581000;0,002906237512261
Germany;2013;DEU2013;1;5006;86;Yes;47410;99,2;685422,3;8,3;99;231;33;29;2400;71,3;82581000;0,002906237512261
Republic of Korea;2000;KOR2000;1;504;85;Yes;24640;100;668707;13;100;487;62;6;20000;68,1;51439000;0,038881004685161
Italy;2000;ITA2000;1;1527;80;Yes;21820;99,5;605700;10;99;194;33;20;8200;70;60570000;0,01353805514281
Italy;2012;ITA2012;1;3114;82;Yes;36000;99,5;545130;9;99;202;29;20;3600;72,8;60570000;0,00594353640416
